detection_id,type,module_lab,data_source,event_ids,detects,technique_ids,tactics,deployed_live,evidence_status,evidence_note,writeup
2502,shipped,03/Lab04,syslog (sshd),auth failures,SSH password guessing (repeated failures one source),T1110,Credential Access,yes,fired,Wazuh tags parent T1110; writeup claims T1110.001 (more specific - keep ours),03-Linux-Detection-Lab/Lab04-SSH-Brute-Force.md
5902,shipped,03/Lab01,syslog (useradd),-,New local user created,T1136,Persistence,yes,fired,Wazuh tags parent T1136; writeup claims T1136.001 (more specific - keep ours),03-Linux-Detection-Lab/Lab01-User-Creation.md
5503,shipped,03/Lab02,PAM,-,Any PAM authentication failure (sudo/ssh/su/login),T1110.001,Credential Access,yes,fired-with-limit,MISMATCH: writeup maps Lab02 to T1548.003 but the rule is a generic PAM failure and Wazuh tags it T1110.001 - not sudo-specific; one failure is not brute force,03-Linux-Detection-Lab/Lab02-Failed-Sudo.md
5402,shipped,03/Lab03,syslog (sudo),-,Successful sudo to root,T1548.003,Privilege Escalation;Defense Evasion,yes,fired-with-limit,Level 3; fires on every legitimate admin sudo - activity log not an abuse detection; README row says T1548 (parent),03-Linux-Detection-Lab/Lab03-Privilege-Escalation.md
550,shipped,03/Lab05,FIM (syscheck),-,Monitored file checksum changed,T1565.001,Impact,yes,fired,Coverage depends entirely on which paths are monitored,03-Linux-Detection-Lab/Lab05-File-Integrity-Monitoring.md
100300,custom,03/Lab06,auditd execve (audit-wazuh-c),-,System/host recon commands (whoami/uname/id),T1057;T1082,Discovery,yes,fired,Intentionally chatty per-command tag; correlated by 100301,03-Linux-Detection-Lab/Lab06-Recon-Detection.md
100301,custom,03/Lab06,auditd execve (audit-wazuh-c),-,Recon burst (4+ recon commands in 60s),T1057,Discovery,yes,fired,,03-Linux-Detection-Lab/Lab06-Recon-Detection.md
100302,custom,03/Lab07,auditd execve (audit-wazuh-c),-,Reverse shell via netcat exec (ncat -e),T1059.004;T1071.001,Execution;Command and Control,yes,fired,Module 03 README row says T1059 - rule says T1059.004 + T1071.001,03-Linux-Detection-Lab/Lab07-Reverse-Shell-Detection.md
100303,custom,03/Lab07,auditd execve (audit-wazuh-c),-,Reverse shell via socat exec,T1059.004,Execution,yes,fired,,03-Linux-Detection-Lab/Lab07-Reverse-Shell-Detection.md
100305,custom,03/Lab08,FIM whodata (syscheck),-,Cron file created/modified,T1053.003,Persistence;Execution,yes,fired,All three cron vectors fired with whodata actor,03-Linux-Detection-Lab/Lab08-Cron-Persistence.md
100306,custom,03/Lab09,PAM session,-,Interactive root shell via su,T1078.003,Privilege Escalation;Persistence,yes,fired,,03-Linux-Detection-Lab/Lab09-Root-Login-Detection.md
100307,custom,03/Lab09,PAM session,-,Direct root login (sshd/console),T1078.003,Initial Access;Persistence,yes,fired,,03-Linux-Detection-Lab/Lab09-Root-Login-Detection.md
100400,custom,04/Lab01,Windows Security,4625,Brute force (repeated failures same account),T1110.001,Credential Access,yes,fired,,04-Windows-Detection-Lab/Lab01-Brute-Force.md
100401,custom,04/Lab02,Windows Security,4624;4672,Privileged (admin) interactive logon,T1078,Initial Access;Privilege Escalation,yes,fired,Fired once for the human admin; SYSTEM/service logons excluded,04-Windows-Detection-Lab/Lab02-Suspicious-Logon.md
100401-RDP,custom,04/Lab02,Windows Security,4624 (LogonType 10),RDP logon,T1021.001;T1078,Lateral Movement,no,not-deployed,Written up only - Win 11 Home cannot host RDP; SHARES rule ID 100401 with the deployed rule (ID collision),04-Windows-Detection-Lab/Lab02-Suspicious-Logon.md
100402,custom,04/Lab03,Windows Security,4720;4732,New account added to Administrators within 120s,T1136.001;T1098,Persistence;Privilege Escalation,yes,fired,Negative control (group add without creation) stayed silent,04-Windows-Detection-Lab/Lab03-Rogue-Admin-Account.md
100403,custom,04/Lab04,System (SCM),7045,Suspicious service install,T1543.003,Persistence;Privilege Escalation,yes,fired,Fired only after regex-engine fix (Bug 1),04-Windows-Detection-Lab/Lab04-Persistence.md
100404,custom,04/Lab04,Windows Security,4698,Suspicious scheduled task created,T1053.005,Persistence;Execution,yes,fired,Clean pass after regex-engine fix,04-Windows-Detection-Lab/Lab04-Persistence.md
100405,custom,04/Lab05,PowerShell Operational,4104,PowerShell download cradle (DownloadString),T1059.001;T1105,Execution;Command and Control,yes,fired,,04-Windows-Detection-Lab/Lab05-PowerShell-Abuse.md
100406,custom,04/Lab05,PowerShell Operational,4104,Download + execute (IEX DownloadString),T1059.001;T1105,Execution;Command and Control,yes,fired,,04-Windows-Detection-Lab/Lab05-PowerShell-Abuse.md
100407,custom,04/Lab06,Windows Security / System,1102;104,Event log cleared,T1070.001,Defense Evasion,yes,fired,1102 log field empty by design,04-Windows-Detection-Lab/Lab06-Event-Log-Cleared.md
100408,custom,04/Lab07,Defender Operational,5007,Defender exclusion added,T1562.001,Defense Evasion,yes,fired,,04-Windows-Detection-Lab/Lab07-Defender-Tampering.md
100409,custom,04/Lab07,Defender Operational,5013,Defender real-time protection change (tamper),T1562.001,Defense Evasion,yes,fired,,04-Windows-Detection-Lab/Lab07-Defender-Tampering.md
100410,custom,04/Lab07,PowerShell Operational,4104,Set-/Add-MpPreference tampering commands,T1562.001,Defense Evasion,yes,fired,Survives loss of the Defender channel,04-Windows-Detection-Lab/Lab07-Defender-Tampering.md
100411,custom,04/Lab08,Windows Security,4688,Shadow copy deletion / recovery disabled (vssadmin/bcdedit),T1490,Impact,yes,fired,Needs ProcessCreationIncludeCmdLine_Enabled=1,04-Windows-Detection-Lab/Lab08-Shadow-Copy-Deletion.md
100500,custom,05/Lab02,Sysmon,10,LSASS memory access,T1003.001,Credential Access,yes,fired-with-limit,Fires on the access attempt; PPL + Defender blocked the actual dump before the SIEM; MRT.exe FP tuned,05-Sysmon/Lab02-LSASS-Credential-Access.md
100501,custom,05/Lab03,Sysmon,1,LOLBin proxy execution (regsvr32/mshta/rundll32),T1218.010;T1218.005;T1218.011;T1059,Defense Evasion;Execution,yes,fired,Bare T1059 parent tag inflates coverage - recommend drop (Lab 02),05-Sysmon/Lab03-LOLBin-Proxy-Execution.md
100502,custom,05/Lab04,Sysmon,7,Unsigned DLL loaded (side-loading),T1574.002,Persistence;Privilege Escalation;Defense Evasion,yes,fired,WindowsApps FP tuned; managed .NET raises no EID 7,05-Sysmon/Lab04-DLL-Sideloading.md
100503,custom,05/Lab05,Sysmon,22,Long/high-entropy DNS label (tunneling),T1071.004;T1048.003,Command and Control;Exfiltration,yes,fired-with-limit,T1048.003 shape-tested only - random labels no real data encoded,05-Sysmon/Lab05-C2-Beacon-Network-DNS.md
100504,custom,05/Lab05,Sysmon,3,Scripting-host outbound connection,T1071.001,Command and Control,yes,fired,Level 3 building block for 100505,05-Sysmon/Lab05-C2-Beacon-Network-DNS.md
100505,custom,05/Lab05,Sysmon,3,Beacon (8 connections same dest in window),T1071.001,Command and Control,yes,fired-with-limit,Slow beacon (40s) evades - rate is not periodicity; see hunt HUNT-BEACON-CV,05-Sysmon/Lab05-C2-Beacon-Network-DNS.md
100506,custom,05/Lab06,Sysmon,15,Script written to alternate data stream,T1564.004,Defense Evasion,yes,fired,Include-list is script-only - hidden PE in ADS is invisible,05-Sysmon/Lab06-Tampering-and-ADS.md
100507,custom,05/Lab06,Sysmon,4,Sysmon service stopped (dying breath),T1562.001,Defense Evasion,yes,fired-with-limit,Races log teardown - fired once silent once; best-effort,05-Sysmon/Lab06-Tampering-and-ADS.md
100508,custom,05/Lab06,System (SCM),7045,Sysmon driver reinstalled (tamper witness),T1562.001,Defense Evasion,yes,fired,Only tamper signal that reliably reached Wazuh,05-Sysmon/Lab06-Tampering-and-ADS.md
100600,custom,06/Lab02,Windows Security (DC),4769,Kerberoasting (RC4 0x17 service ticket for user SPN),T1558.003,Credential Access,yes,fired,AES-roasting evades (negative control),06-Active-Directory/Lab02-Kerberoasting.md
100601,custom,06/Lab03,Windows Security (DC),4768,AS-REP roasting (no pre-auth + RC4),T1558.004,Credential Access,yes,fired,,06-Active-Directory/Lab03-AS-REP-Roasting.md
100602,custom,06/Lab04,Windows Security / Directory Service (DC),4662;1644,LDAP / BloodHound reconnaissance,T1087;T1069;T1482,Discovery,no,not-deployed,Reserved; 4662 blind to LDAP reads and Wazuh will not rule-match the Directory Service channel - documented gap,06-Active-Directory/Lab04-LDAP-Reconnaissance.md
100603,custom,06/Lab05,Windows Security (DC),4662,DCSync (DS-Replication GUID by non-DC),T1003.006,Credential Access,yes,fired,,06-Active-Directory/Lab05-DCSync.md
100604,custom,06/Lab06B,Windows Security (DC),4769,Golden Ticket tripwire (remote built-in Administrator TGS),T1558.001,Credential Access,yes,fired-with-limit,Demonstrated FP on a legit remote admin logon; misses non-Administrator forgeries,06-Active-Directory/Lab06B-Golden-Ticket-Tripwire.md
100701,custom,07/Lab04,Windows Security (DC),4769,Golden Ticket proxy (svc-sql remote TGS),T1558.001,Credential Access,yes,fired-with-limit,Fires identically on legit and forged tickets - cannot separate; public writeup lacks the <mitre> block the live rule has,07-Threat-Hunting/Lab04-Hunt-to-Detection.md
HUNT-GT-ANTIJOIN,hunt,07/Lab02,Windows Security (DC) archives,4769 without 4768,Golden Ticket - service ticket with no issuing TGT,T1558.001,Credential Access,n/a,hunt-only,Triage lead not alarm - masked once account authenticates legitimately; stale-TGT FP,07-Threat-Hunting/Lab02-Golden-Ticket-Anti-Join.md
HUNT-BEACON-CV,hunt,07/Lab03,Sysmon archives,3,Beacon periodicity (interval coefficient of variation),T1071.001,Command and Control,n/a,hunt-only,Catches the slow beacon 100505 misses (CV 0.007),07-Threat-Hunting/Lab03-Beacon-Periodicity.md
